,title,subtitles,links
16,LUONG STORY,Forgotten Harry Kane team-mate wants to join fellow Aussie Postecoglou in Prem,https://www.thesun.co.uk/sport/24358075/massimo-luongo-harry-kane-ipswich-tottenham/
17,'SIT TIGHT',Arsenal fans convinced they are triggering Bruno Guimaraes' release clause,https://www.thesun.co.uk/sport/24352185/arsenal-bruno-guimaraes-release-clause-instagram/
18,BECKS APPEAL,Beckham in line for Man Utd job if takeover bid by Sheikh Jassim is successful,https://www.thesun.co.uk/sport/24347476/man-utd-takeover-bid-sheikh-jassim-david-beckham-offer/
19,WHAT A RESULT,Need your footie news INSTANTLY? Join our Sports WhatsApp channel in 3 steps,https://www.thesun.co.uk/sport/24260972/how-join-suns-sports-whatsapp-channel/
20,WELCOME OFFER,Get £30 in free bets for the football this week with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
21,POWER UP,Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
22,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
23,BELLS & WHISTLES,Bellingham gets stunning £155k electric BMW as Real team gifted new cars,https://www.thesun.co.uk/sport/24357696/jude-bellingham-real-madrid-car-bmw/
24,,Broadcaster apologises live on air for squabbling cameramen's X-rated row,https://www.thesun.co.uk/sport/24354547/bristol-city-tottenham-under-21s-cameramen-argument/
25,TAKING THE MIK,Chelsea legend calls out Ten Hag over major 'no-no' Sir Alex would never do,https://www.thesun.co.uk/sport/24353983/chelsea-john-obi-mikel-manchester-united-erik-ten-hag/
26,GREAT SCOTS,Inside McTominay's relationship with Sir Alex and what boss told him as a kid,https://www.thesun.co.uk/sport/24348016/manchester-united-scott-mctominay-tribute-sir-alex-ferguson-relationship/
27,RIK-ETY,Christian Eriksen pinpoints Man Utd's two major issues after horror start to season,https://www.thesun.co.uk/sport/24354238/christian-eriksen-injuries-manchester-united-start/
28,NEW LOVE,Laura Woods goes Insta official with Adam Collard and shares VERY intimate pics,https://www.thesun.co.uk/sport/24351400/laura-woods-intimate-pics-love-island-adam-collard/
29,ENZ GAME,Man Utd chasing Benfica’s Fernandez replacement - but must pay huge release clause,https://www.thesun.co.uk/sport/24345134/man-utd-chasing-benfica-fernandez-joao-nevez/
30,KE-OWNED THEM,Keown gives Arteta message to pass on to two Arsenal stars after Man City win,https://www.thesun.co.uk/sport/24356624/keown-arteta-arsenal-man-city-saliba-gabriel/
31,ARE EU SURE?,Why England will reject automatic Euro 2028 qualification despite being hosts,https://www.thesun.co.uk/sport/24345588/england-euro-qualification-tournament-hosts/
32,GOAL ACHIEVED,Mason Greenwood speaks out after first goal in 628 days following Man U move,https://www.thesun.co.uk/sport/24349634/mason-greenwood-speaks-out-man-utd-getafe/
33,UNITED BLUES,How Birmingham could look under Roo with Benteke & jobless Man Utd icon,https://www.thesun.co.uk/sport/24348647/birmingham-line-up-rooney-man-utd-de-gea-morrison/
34,GAZ'S MEGA PAY DAY,Gary Neville gets huge pay day as huge pop star hires his entire hotel,https://www.thesun.co.uk/sport/24344642/gary-neville-madonna-hires-hotel-manchester/
35,LEW JOKING?,Rico Lewis branded 'savage' with fans convinced he made bold gesture at Arsenal,https://www.thesun.co.uk/sport/24349048/rico-lewis-arsenal-manchester-city-gesture/
36,,Watch as Liverpool star joins Brighton lap of honour as fans praise 'class act',https://www.thesun.co.uk/sport/24348866/liverpool-brighton-alexis-mac-allister-lap-of-honour/
37,GONE TO POTT,Graham Potter lined up by Champions League side after rejecting TWO clubs,https://www.thesun.co.uk/sport/24345992/chelsea-graham-potter-napoli/
38,"NO DANE, NO PAIN",Schmeichel incredibly FLOORS team-mate after linking up with Denmark squad,https://www.thesun.co.uk/sport/24347929/kasper-schmeichel-denmark-training-overhead-kick/
39,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
40,TOP OF THE SLOTS,Best payout slots for UK revealed - and where you can play them,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
41,QUICK BUCKS,Get cash quick as a flash with our guide to the best instant withdrawal casinos,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
42,SHAK'S A FAN,Shakira snubs ex Pique AGAIN as she confirms support for Prem giants,https://www.thesun.co.uk/sport/24348260/shakira-snubs-pique-premier-league-arsenal/
43,GUNNER DO IT,Morgan highlights two things Arsenal MUST do if they are to win Premier League,https://www.thesun.co.uk/sport/24342023/piers-morgan-arsenal-changes-premier-league-title/
44,DRUG BUST,Ex-porn star & footie WAG jailed after trying to traffic 14lbs of coke into Spain,https://www.thesun.co.uk/sport/24340821/ex-porn-star-football-traffic-coke-spainbut-shock-texts/
45,WHEN IN ROME,Chelsea agree Romelu Lukaku transfer fee with striker set to seal exit,https://www.thesun.co.uk/sport/24344753/chelsea-romelu-lukaku-transfer-roma/
46,FIVE ALIVE,Man Utd 'battle FIVE giants for wonderkid and plot double £100m transfer swoop',https://www.thesun.co.uk/sport/24347364/man-utd-brazil-transfer-premier-league/
47,SHAKY GROUND,Referee 'set to be suspended' after snubbing handshake with female assistant,https://www.thesun.co.uk/sport/24341309/referee-suspended-handshake-serie-a/
48,,Man Utd fan says 'I don't really like him' before he's given star's shirt,https://www.thesun.co.uk/sport/24347505/awkward-man-utd-fan-mutv-shirt/
49,FEELING BLUE,Chelsea fans think 'we're cursed' as ace pulls out national team squad injured,https://www.thesun.co.uk/sport/24345109/chelsea-axel-disasi-cursed-france-squad-injured/
50,DIER STRAITS,Eric Dier offered Spurs escape route after being frozen out by Postecoglou,https://www.thesun.co.uk/sport/24345737/eric-dier-tottenham-transfer-sporting-lisbon/
51,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
52,MAN UTD NEWS,"Sancho transfer exit updates, takeover latest as Beckham in line for role",https://www.thesun.co.uk/sport/24159367/man-utd-news-live-sheikh-jadon-sancho-transfer-takeover-updates/
53,ARSENAL NEWS,"Saka injury latest after England statement, Gunners 'monitor Pedro Neto'",https://www.thesun.co.uk/sport/24268915/arsenal-news-live-bukayo-saka-injury-updates/
54,GUNNER LEAVE,Napoli 'target Arsenal striker' as one of three transfers to replace Osimhen,https://www.thesun.co.uk/sport/24327234/napoli-arsenal-transfer-victor-osimhen-gabriel-jesus/
55,CITY SLIPPERS,Is it time to get rid of Manchester City defenders?,https://www.thesun.co.uk/sport/football/dream-team/24338297/dream-team-fantasy-football-transfers-manchester-city/
56,TAKE THE MICKY,Spurs star edges out two-goal heroes Salah and Isak for top scorer of GW8,https://www.thesun.co.uk/sport/football/dream-team/24338933/spurs-star-edges-out-salah-isak/
57,JACK OUT THE BOX,£2.3m bargain finished in top 5 points scorers - but NO manager picked him,https://www.thesun.co.uk/sport/football/dream-team/24340240/bargain-buy-top-5-points-scorers-zero-teams/
58,RACE IS ON,Supercomputer predicts final Prem table after Arsenal's win over Man City,https://www.thesun.co.uk/sport/24335771/supercomputer-premier-league-table-arsenal-man-city/
59,SERG IN INTEREST,Sergio Reguilon's Wag stuns in low-cut top as fans call her 'spectacular',https://www.thesun.co.uk/sport/24341868/man-utd-sergio-reguilon-marta-diaz-wag/
60,GUNNER LOVE IT,Ring girl & model shows off vanishing Arsenal shirt as fans love end to clip,https://www.thesun.co.uk/sport/24344719/amber-fields-ring-girl-arsenal-shirt/
61,RED-Y TO GO,Man Utd outcast Jadon Sancho set for transfer lifeline from Euro giants,https://www.thesun.co.uk/sport/24325381/jadon-sancho-juventus-transfer-man-utd-news/
62,LUT IT BE,Luton staff fly to South America in bid to seal £5m 'new Moises Caicedo' deal,https://www.thesun.co.uk/sport/24325948/luton-town-moises-caicedo-chelsea-oscar-zambrano/
63,LEAGUES ABOVE,League One club unveil plans for £100m new stadium and face race against time,https://www.thesun.co.uk/sport/24346047/oxford-united-new-stadium-league-one/
64,KELL-ING IT,Lionesses star Chloe Kelly looks sensational in see-through dress at award bash,https://www.thesun.co.uk/sport/24340948/england-lionesses-chloe-kelly-pride-britain-awards/
65,HAIL MARY,England goalkeeper Earps' shirts sell out in hours - and now cost double on eBay,https://www.thesun.co.uk/sport/24346244/england-mary-earps-shirts-sell-out-ebay/
66,AL IN,Ex-Liverpool flop lands new management job just 81 days after accepting current role,https://www.thesun.co.uk/sport/24345618/liverpool-flop-lands-new-management-job-riera/
67,GREEN LIGHT,Mason Greenwood SCORES first goal in 628 days for Getafe,https://www.thesun.co.uk/sport/24330116/mason-greenwood-goal-getafe/
68,TROY DEENEY,"Man Utd's Onana will never be consistent, he's either brilliant or disastrous",https://www.thesun.co.uk/sport/24318948/andre-onana-david-raya-aaron-ramsdale/
69,KARREN BRADY,"After Saka nicked Maddison celebration, this Wembley moment is my favourite",https://www.thesun.co.uk/sport/24211537/bukayo-saka-james-maddison-dart-celebration-karren-brady/
70,DAVE KIDD,Tottenham's Ange Postecoglou is the sort of bloke you'd want to work for,https://www.thesun.co.uk/sport/24348255/tottenham-ange-postecoglou-dave-kidd/
71,GREAT SCOTT,Alex Scott fans love BBC presenter's latest bold outfit choice on live TV,https://www.thesun.co.uk/sport/24328590/alex-scott-bbc-outfit-jess-glynne/
72,DERBY DAY,Diletta Leotta puts on leggy display with stunning look to present huge derby,https://www.thesun.co.uk/sport/24328906/tv-host-diletta-leotta-juventus-torino/
73,MADD ABOUT HER,James Maddison's model girlfriend shows off incredible bikini body,https://www.thesun.co.uk/sport/24333559/james-maddison-model-wag-kennedy-alexa-bikini-tottenham/
